		raw count							19 (16.1%)	65 (55.08%)	2 (1.69%)	14 (11.86%)	118 (100%)	118	117	81	61 (51.69%)	35 (29.66%)	32 (27.11%)	21 (17.79%)	61 (51.69%)	10 (8.47%)		86	74	68	24	37	50	20	22	54	0	27	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	6 (5.08%)	11 (9.32%)	30 (25.42%)	30	28 (23.72%)	24 (20.33%)	22	26	27	#DIV/0!	11		#DIV/0!	68	18	58	#DIV/0!	#DIV/0!	#DIV/0!		
												# of Initial papers:13		Joe:50	Pemma:68	ML keyword or technique: 34.8%	APR + ML Technique: 22; APR and No ML Technique: 39; APR + LLM: 7; APR and No LLM: 54	39	# of ML papers:32 (27.11%)							AVAILABILITY				RESOURCES			Reproducibility							7	Architecture							Dataset			Fault Localization		Input		Patch evaluations				
Conference	Authors	Title	year	link	original order	MLA cite	keywords	Conf keywords	Workshop or some other paper that is not fully fleshed out (phd proposal, journal-first)  or Non-adjacent to APR	In Monperrus Full?	In Search Terms / Monperrus Results?	In initial sample?	reviewed?	Reviewer	Summary	Notes	APR tool?	Has ML keyword?	Uses ML technique?	Paper focuses on Patch Correctness or Patch Quality?	Did it evaluate on a benchmark?	Were prior evaluation results used? [no new APR evaluations performed]	Defects4j	Which datasets were used in evaluation?	New Model / Tool / Tool-Augment / Benchmark Name	CODE	TRAINED MODEL	DATASET	replication package?	IF Reported, Hours Training / Running 	Compute Resources used for Training / Running	efficiency - upper limit (only in methods), average time taken in eval, or average test suite evals in eval.	Reproduced in other independent papers / evaluations	what other models / tools were reproduced in this evaluation?	deduplication effort	validation/evaluation dataset	fine-tuning dataset	pre-training/training dataset	uses existing pretrained LM?	LLM?	Uses ML?	ML architecture?	neural network?	Transformer model?	Attention model detailed / explained?	# of parameters?	context / input size? (tokens or lines)	New benchmark introduced?	New benchmark features? (new attribute?)	Which datasets evaluated?	Assumes Perfect Fault Localization?	Fault localization type (Perfect Line, Perfect Function, Context and Context Size; Spectra Type)	Additional required inputs? (ML: outline their tokenization / generalizing method for their input and number of tokens; Program History, etc.)	reports summary info or per-bug info	Plausible reported?	Correct reported?	"correct" definition	Search termination	beam search info and impact
ICSE	Ren, Zhilei, et al	Automated patching for unreproducible builds.	2022	https://ieeexplore-ieee-org.ezproxy1.lib.asu.edu/document/9793866	1	Ren, Zhilei, et al. "Automated patching for unreproducible builds." Proceedings of the 44th International Conference on Software Engineering. 2022.	reproducible builds; dynamic tracing; automated patch generation; 	Location awareness; Codes; Linux; Computer bugs; Software; Reproducibility of results; Probes;	FALSE	TRUE	FALSE	FALSE	TRUE	Joe	Software security issues emerge at multiple levels, including at compile time. As a response to malware injection via compilation, "reproducible" builds have been introduced, which provide an audit trail. A build that fails to reproduce is labeled "unreproducible" and this paper aims to fix these builds (i.e., cause them to generate bit-identical binaries).	Build repair more than program repair. And "repair" here is specious - they change build commands so that output is made consistent across a variety of build environments. This might be stripping out things like date and locale information which vary.	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Custom benchmark of Debian and Arch packages.	RepFix	https://rezilla.bitbucket.io/repfix/		https://rezilla.bitbucket.io/repfix/	https://rezilla.bitbucket.io/repfix/										FALSE	FALSE	FALSE		FALSE	FALSE				FALSE	more a dataset than a benchmark; they made their data available, but it wasn't built for others to use		FALSE				FALSE	FALSE			
ICSE	Meng, Xiangxin, et al	Improving fault localization and program repair with deep semantic features and transferred knowledge.	2022	https://ieeexplore-ieee-org.ezproxy1.lib.asu.edu/document/9794014	2	Meng, Xiangxin, et al. "Improving fault localization and program repair with deep semantic features and transferred knowledge." Proceedings of the 44th International Conference on Software Engineering. 2022.	Fault localization; program repair; transfer learning; neural networks; software debugging;	Location awareness; Codes; Semantics; Computer bugs; Maintenance engineering; Feature extraction; Software debugging;	FALSE	TRUE	FALSE	FALSE	TRUE	Joe	This paper presents TRANSFER, an ML enhancement to TBar which uses BiLSTM classifiers for FL and Patch Generation. They fix 6 more bugs than TBar, and propose that this is due to better targeting of location / fix template pairs.		TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	Defects4J	TRANSFER	https://github.com/mxx1219/TRANSFER	provided, with detailed instructions for how to run (or how to retrain from scratch if desired)	https://github.com/mxx1219/TRANSFER	https://github.com/mxx1219/TRANSFER	Samples, cross-validation replications and resources reported (but not wallclock time).	We set the running time of each repair process to 3 hours, which is the same as TBar [32]. All the experiments are conducted on Ubuntu 18.04 server with 20 cores of 2.4GHz CPU, 384GB RAM and NVIDIA Tesla V100 GPUs with 32 GB memory.	limit set to 3h (same as TBar)							FALSE	FALSE	TRUE	BiLSTM multi-classifier	TRUE	FALSE	not beyond BiLSTM label	not specified	not specified	FALSE	Main eval was D4J, but they introduce two large datasets for training models for FL and APR.	Defects4J	FALSE	FL is one of the subtasks (handled by their neurlal net). Fault localization is at the statement level, and the model also predicts which fix templates should be selected to generate patches.		per-bug info (in figure 5)	FALSE	TRUE	semantic equivalence to human repair; they also essentially identify "wrong location" as "plausible but incorrect" which is interesting	can't find	
ICSE	Ye, He, Matias Martinez, and Martin Monperrus	Neural program repair with execution-based backpropagation.	2022	https://ieeexplore-ieee-org.ezproxy1.lib.asu.edu/document/9793856	3	Ye, He, Matias Martinez, and Martin Monperrus. "Neural program repair with execution-based backpropagation." Proceedings of the 44th International Conference on Software Engineering. 2022.	automated program repair; software reliability;	Backpropagation; Training; Computer bugs; Semantics; Neural networks; Maintenance engineering; Syntactics;	FALSE	TRUE	FALSE	FALSE	TRUE	Joe	This paper introduces RewardRepair, an improvement of NMT-based program repair that introduces semantic (runtime) information to augment purely syntactic analysis. They write a better loss function, essentailly. More of their patches compile than the competition (which makes sense).	considers only single-hunk bugs	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	Defects4j 1.2, 2.0, Bugs.jar, QuixBugs	RewardRepair	https://github.com/ASSERT-KTH/RewardRepair	https://doi.org/10.5281/zenodo.5997686	https://github.com/ASSERT-KTH/RewardRepair	https://github.com/ASSERT-KTH/RewardRepair			beam search of 200 (vs. 1k for CURE, CoCoNuT)							FALSE	FALSE	TRUE	Transformer model from Hugging Face	TRUE	TRUE	not directly; reference provided	vocab size 32128	max 512 input tokens from buggy/context code. max 100 tokens in output patch	FALSE		trained on Bears, tested on the four mentioned to the left	FALSE	sbfl w/ Gzoltar, also provides data for perfect fault localization		Per-bug info available in repo but not in paper	FALSE	TRUE	semantic equivalence to human repair (not necessarily identical). consensus of 2 authors if not identical	beam search, sizes = [30, 100, 200, (500 available in supplementary material)]	"our experiment shows a bigger beam size indeed leads to more correct patches generated, which confirms the study of Tufano et al. [ 56 ]." vocabulary size of 32,128 beam sizes=[30, 100, 200, (500)]
ICSE	Gissurarson, Matthías Páll, et al	PropR: property-based automatic program repair.	2022	https://ieeexplore-ieee-org.ezproxy1.lib.asu.edu/document/9794120	4	Gissurarson, Matthías Páll, et al. "PropR: property-based automatic program repair." Proceedings of the 44th International Conference on Software Engineering. 2022.	automatic program repair; search based software engineering; synthesis; property-based testing; typed holes;	Location awareness; Program processors; Redundancy; Manuals; Maintenance engineering; Inspection; Software;	FALSE	TRUE	FALSE	TRUE	TRUE	Joe	Introduces PropR, a program repair tool for Haskell. Claims "property-based tests" are faster and more accurate than unit tests. Less overfitting.	Properties are attributes of functions (e.g. symmetry, idempotency, etc). Easier in functional langs, though apparently tools exist in a few others.	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Custom one introduced here; based on Haskell course student responses a la IntroClass	PropR	https://github.com/Tritlo/PropR		https://doi.org/10.5281/zenodo.5389051	https://doi.org/10.5281/zenodo.5389051		8 vCPUs @ 3.6ghz 16gb ram	10 mins							FALSE	FALSE	FALSE		FALSE	FALSE				TRUE	IntroClass-inspired thing for Haskell; 30 bugs.		FALSE	SBFL w/ input from property tests as well as unit tests		per bug info in repo	TRUE	TRUE	they manually inspected a subset of their patches; they expect 62/76 to be correct if that ratio holds for the larger set	"we apply the current fixes we have found so far to the targets and enter the next iteration of the loop 10 , repeating the process with the new targets until all properties have been fixed, or the (10 minute) search budget runs out."	
ICSE	Zhao, Yanjie, et al	Towards automatically repairing compatibility issues in published android apps.	2022	https://ieeexplore-ieee-org.ezproxy1.lib.asu.edu/document/9794093	5	Zhao, Yanjie, et al. "Towards automatically repairing compatibility issues in published android apps." Proceedings of the 44th International Conference on Software Engineering. 2022.	Android; Compatibility Issue; Automated Program Repair;	Runtime; Operating systems; Ecosystems; Prototypes; Maintenance engineering; Computer crashes; Internet;	FALSE	FALSE	FALSE	FALSE	TRUE	Joe	RepairDroid is APR for android apps (specifically compatibility issues, like crash at runtime on a specific environment). Templates are applied by RepairDroid to fix the issue at bytecode level (right before user installs). Fixes 7660/8976 issues in 1k randomly selected Google Play apps	fault localization done by pattern-matching on decompiled, interemediate representation (Jimple IR), identifies bug statements and methods. They work on published apps, so don't have access to source code. 85.34% success rate at fixing issues in these 1k apps. Pretty impressive	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	AndroZoo	RepairDroid						extremely fast; less than 2 minutes for each of the apps in all cases (typically around 30 seconds)	not specified, but took less than 2 mins per app							FALSE	FALSE	FALSE		FALSE	FALSE				FALSE		AndroZoo (1k real apps from Google Play)	FALSE	scans decompiled code at the statement level for patterns matching templates			TRUE	TRUE	they randomly sampled 20 of the apps and tested to ensure that the compatibility issues were indeed fixed; they all were. the other 980 were not executed by them directly (they just looked at whether it crashed which it used to)		
ICSE	Noller, Yannic, et al	Trust enhancement issues in program repair.	2022	https://ieeexplore-ieee-org.ezproxy1.lib.asu.edu/document/9794080	6	Noller, Yannic, et al. "Trust enhancement issues in program repair." Proceedings of the 44th International Conference on Software Engineering. 2022.	program repair;	Semantics; Computer bugs; Maintenance engineering; Software; Human in the loop; Software engineering;	FALSE	TRUE	FALSE	FALSE	TRUE	Joe	Survey research of practitioners on what they want (for trust and convenience) from APR tools. Bottom line: 10 patches is about the most they're willing to try out, and an hour is the limit on acceptable time. Not much interest in providing inputs while sitting there (so human-in-the-loop is a bad idea).	Presents results of a constrained evaluation on ManyBugs; no new tools here, just looking to see whether the existing C-based APR tools provide good answers within the survey response provided constraints.	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE																FALSE	FALSE	FALSE		FALSE	FALSE				FALSE			FALSE				FALSE	FALSE			
ICSE	Jiang, Nan, Thibaud Lutellier, and Lin Tan	Cure: Code-aware neural machine translation for automatic program repair.	2021	https://ieeexplore-ieee-org.ezproxy1.lib.asu.edu/document/9401997	7	Jiang, Nan, Thibaud Lutellier, and Lin Tan. "Cure: Code-aware neural machine translation for automatic program repair." 2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE). IEEE, 2021.	automated program repair; software reliability;	Computer bugs; Maintenance engineering; Benchmark testing; Search problems; Software; Software reliability; Machine translation;	FALSE	TRUE	FALSE	FALSE	TRUE	Joe	CURE - NMT-based APR tool targeting Java. Correctly fixes 57 D4J bugs and 26 QuixBugs (SoTA at the time of publication)	trains on code from before 2006 (when bugs for D4J and QuixBugs start);  pdr note: authors mention using a pre-trained GPT-PL model, then also state that they also pre-train, confusing AF if you don't read linearly in summary: GPT-1 is the architecture, leveraged from hugging face; the authors train the model for PL work, then fine-tune for APR	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	Defects4J, QuixBugs	CURE	https://github.com/lin-tan/CURE	https://zenodo.org/record/7030145#.YwvXfFvMI5l	https://github.com/lin-tan/CURE ;  training dataset: https://github.com/lin-tan/CoCoNut-Artifact	https://github.com/lin-tan/CURE	six days for data extraction, ten days for PL model, 12 days for fine tuning APR	2.5 minutes on average to generate 10k patches using 4 GPUs. Validation is parallel across these; they say 16.5 minutes on average per bug	We train and evaluate our models on one 56-core server with one NVIDIA TITAN V and three Xp GPUs			Following [19: CoCoNuT], we remove two Defects4J bugs, Closure 63 and Closure 93, from our evaluation as they are duplicates of other Defects4J bugs. 	We use two widely-used benchmarks, Defects4J (v1.4.0) [38] and QuixBugs [47] for evaluation. Following [19: CoCoNuT], we remove two Defects4J bugs, Closure 63 and Closure 93, from our evaluation as they are duplicates of other Defects4J bugs. 	We use CoCoNuT’s training data shared on GitHub [19] as our patch training data, which is extracted from 45,180 Java projects. These Java projects are a superset of the projects used for PL training data since we need more projects to extract enough patch data and it is too expensive to use all these projects for PL training. Then we discard the instances whose context or correct fixes are longer than 1,024 tokens after subword tokenization. Removing instances from the training set is a common practice for machine learning, and since the test set (bugs in Defects4j and QuixBugs are untouched), this setup is valid. Our patch training data contains 2.72 million training instances and 16,920 validation instances.	4.04 million methods from 1,700 open-source projects–to capture code syntax and developer-like source code;  We download all (1,700) open-source Java projects from GitHub that have at least one commit before the first bug in Defects4J according to GHTorrent [42] and roll them back to a version before 2006 to avoid using future data. Then, we use JavaParser [43] to extract all methods except abstract methods and those longer than 1,024 tokens. The PL training data contains 4.04 million methods, with 30,000 instances for validation.	FALSE	TRUE	TRUE	NMT / GPT-1 / GPT-PL	TRUE	TRUE	they cite attention is all you need and specify they use 6 attention heads. Model code is available for more detail	50k vocabulary size. we use an embedding size of 384, eight layers of transformer blocks, and six attention heads. We train GPT for five epochs, using a batch size of 12. We use Adam optimizer [44], and the learning rate increases from 0 to 2.5e−4 at the first 2,000 training steps and then decreases using a cosine schedule.	entire buggy method as input, with buggy line annotated	FALSE			TRUE	assumes perfect line localization, takes method as context	no history or auxiliary data needed (beyond what is used for training); takes buggy method and tries to generate a patch that is the same size (roughly) as the annotated buggy line	summary results only in paper; detailed results in an excel file on the repo	TRUE	TRUE	semantic equivalence; two authors must agree (92% agreement), discuss to resolve other 8%.		vocabulary size = 50,000 beam size = 1,000
ICSE	Li, Yi, Shaohua Wang, and Tien N	Dlfix: Context-based code transformation learning for automated program repair.	2020	https://ieeexplore-ieee-org.ezproxy1.lib.asu.edu/document/9284100	8	Li, Yi, Shaohua Wang, and Tien N. Nguyen. "Dlfix: Context-based code transformation learning for automated program repair." Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering. 2020.	Deep Learning; Automated Program Repair; Context-based Code Transformation Learning;	Deep learning; Computer bugs; Tools; Maintenance engineering; Benchmark testing; Context modeling; Software engineering;	FALSE	TRUE	FALSE	TRUE	TRUE	Joe	DLFix uses a two-tier deep learning model (tree-based RNN for context, second layer for translation) that fixes bugs in Java (D4J and Bugs.jar). Fix patterns are learned, instead of hardcoded a la TBar.	Two layer: first is a tree-based RNN for encoding context. That feeds to second layer, which is a slightly tweaked NMT application. They feed it code transformations from prior fixes, and it selects from those, instead of trying to learn them directly.	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	Defects4J, Bugs.jar	DLFix	https://github.com/ICSE-2019-AUTOFIX/ICSE-2019-AUTOFIX	not available	Improving Bug Detection via Context-Based Code Representation Learning and Attention-Based Neural Networks (SPLASH 2019 - OOPSLA) and https://github.com/OOPSLA-2019-BugDetection/OOPSLA-2019-BugDetection	https://github.com/ICSE-2019-AUTOFIX/ICSE-2019-AUTOFIX	 hours to generate and validate patches (matching what SimFix did)	4-core Intel CPU and a single GTX Titan GPU	5 hours per bug							FALSE	FALSE	TRUE	Two layer: first is a tree-based RNN for encoding context. That feeds to second layer, which is a slightly tweaked NMT application. They feed it code transformations from prior fixes, and it selects from those, instead of trying to learn them directly.	TRUE	TRUE	They essentially build a custom one, with their code context input.	unspecified	100-200 tokens (depending on experiment)	FALSE		Defects4J, Bugs.jar	FALSE	Uses SBFL w/ Ochiai	Takes input from new dataset called BugFix; 4.9M Java methods, 1.8M of which are buggy. Limited to one-line bugs inside of methods, which gets 20K bug/fix pairs that are single-hunk.	per-bug in paper and code repo	TRUE	TRUE	semantic equivalence to human repair	5hr termination	 We tuned DLFIX with the following key hyperparameters using beam-search, such as the vector length of word2vec (100, 150, 200), learning rate (0.001, 0.005, 0.01), and Epoch size (100, 200, 300).
