conference	authors	title	year	DOI
ACM Transactions on Programming Languages and Systems (TOPLAS)	Rafael Corchuelo, José A Pérez, Antonio Ruiz, and Miguel Toro	Repairing syntax errors in LR parsers	2002	10.1145/586088.586092
Proceedings of the 25th International Conference on Software Engineering	Christian Nentwich, Wolfgang Emmerich, and Anthony Finkelstein	Consistency Management with Repair Actions	2003	10.1109/icse.2003.1201223
Computer Aided Verification	Barbara Jobstmann, Andreas Griesmayer, and Roderick Bloem	Program Repair As a Game	2005	10.1007/11513988_23
Security & Privacy	S. Sidiroglou and A.D. Keromytis	Countering Network Worms Through Automatic Patch Generation	2005	10.1109/msp.2005.144
Seventh Symposium on Trends in Functional Programming	Louise A. Dennis, Raul Monroy, and Pablo Nogueira	Proof-directed Debugging and Repair	2006	NOT_FOUND
Computer Aided Verification	Andreas Griesmayer, Roderick Bloem, and Byron Cook	Repair of Boolean Programs with An Application to C	2006	10.1007/11817963_33
The Semantic Web: Research and Applications	Aditya Kalyanpur, Bijan Parsia, Evren Sirin, and Bernardo Cuenca-Grau	Repairing Unsatisfiable Concepts in OWL Ontologies	2006	10.1007/11762256_15
Proceedings of the International Conference on Generative Programming and Component Engineering	Westley Weimer	Patches As Better Bug Reports	2006	10.1145/1173706.1173734
Proceedings of the 2nd ACM Symposium on Information, Computer and Communications Security	Z. Lin, X. Jiang, D. Xu, B. Mao, and L. Xie	AutoPaG: Towards Automated Software Patch Generation with Source Code Root Cause Identification and Repair	2007	10.1145/1229285.1267001
Proceedings of the Third International Workshop on Software Engineering for Secure Systems	S. Thomas and L. Williams	Using Automated Fix Generation to Secure SQL Statements	2007	10.1109/sess.2007.12
Companion of the 30th International Conference on Software Engineering	Andrea Arcuri	On the Automation of Fixing Software Bugs	2008	10.1145/1370175.1370223
Proceedings of the IEEE Congress on Evolutionary Computation	Andrea Arcuri and Xin Yao	A Novel Co-evolutionary Approach to Automatic Software Bug Fixing	2008	10.1109/cec.2008.4630793
ACM Transactions on Software Engineering and Methodology	Atif M. Memon	Automatically Repairing Event Sequence-based GUI Test Suites for Regression Testing	2008	10.1145/1416563.1416564
Proceedings of FORTE 2008	Farn Wang and Chih-Hong Cheng	Program Repair Suggestions From Graphical State-Transition Specifications	2008	10.1007/978-3-540-68855-6_12
PhD thesis. University of Birmingham	Andrea Arcuri	Automatic Software Generation and Improvement Through Search Based Techniques	2009	NOT_FOUND
Proceedings of the International Conference on Automated Software Engineering	Valentin Dallmeier, Andreas Zeller, and Bertrand Meyer	Generating Fixes From Object Behavior Anomalies	2009	10.1109/ase.2009.15
Proceedings of the 24th IEEE/ACM International Conference on Automated Software Engineering	Brett Daniel, Vilas Jagannath, Danny Dig, and Darko Marinov	ReAssert: Suggesting Repairs for Broken Unit Tests	2009	10.1109/ase.2009.17
Proceedings of the 11th Annual Conference on Genetic and Evolutionary Computation	S. Forrest, T.V. Nguyen, W. Weimer, and C. Le Goues	A Genetic Programming Approach to Automated Software Repair	2009	10.1145/1569901.1570031
ICPC	Dennis Jeffrey, Min Feng, Neelam Gupta, and Rajiv Gupta	BugFix: a Learning-based Tool to Assist Developers in Fixing Bugs	2009	10.1109/icpc.2009.5090029
International Symposium on Theoretical Aspects of Software Engineering	Yuhua Qi, Xiaoguang Mao, and Yan Lei	Program Repair As Sound Optimization of Broken Programs	2009	10.1109/tase.2009.61
Proceedings of the International Conference on Software Engineering	W. Weimer, T. Nguyen, C. Le Goues, and S. Forrest	Automatically Finding Patches Using Genetic Programming	2009	NOT_FOUND
7th joint meeting of the European Software engineering Conference and the ACM SIGSOFT Symposium on The Foundations of Software Engineering	Yingfei Xiong, Zhenjiang Hu, Haiyan Zhao, Hui Song, Masato Takeichi, and Hong Mei	Supporting Automatic Model Inconsistency Fixing	2009	10.1145/1595696.1595757
Proceedings of the International Conference on Software Testing, Verification and Validation	V. Debroy and W.E. Wong	Using Mutation to Automatically Suggest Fixes for Faulty Programs	2010	10.1109/icst.2010.66
Proceedings of the 12th Annual Conference on Genetic and Evolutionary Computation	Ethan Fast, Claire Le Goues, Stephanie Forrest, and Westley Weimer	Designing Better Fitness Functions for Automated Program Repair	2010	10.1145/1830483.1830654
Formal Methods for Industrial Critical Systems	Christian Kern and Javier Esparza	Automatic Error Correction of Java Programs	2010	10.1007/978-3-642-15898-8_5
PhD thesis. The Unversity of New Mexico	Thanh V. Nguyen	Automating Program Verification and Repair Using Invariant Analysis and Test Input Generation	2010	NOT_FOUND
Proceedings of the IEEE/ACM International Conference on Automated Software Engineering	E. Schulte, S. Forrest, and W. Weimer	Automated Program Repair Through the Evolution of Assembly Code	2010	10.1145/1858996.1859059
Proceedings of the 22nd International Conference on Advanced Information Systems Engineering	Marcos Aurélio Almeida da Silva, Alix Mougenot, Xavier Blanc, and Reda Bendraou	Towards Automated Inconsistency Handling in Design Models	2010	10.1007/978-3-642-13094-6_28
Proceedings of the International Symposium on Software Testing and Analysis	Yi Wei, Yu Pei, Carlo A. Furia, Lucas S. Silva, Stefan Buchholz, Bertrand Meyer, and Andreas Zeller	Automated Fixing of Programs with Contracts	2010	10.1145/1831708.1831716
Communications of the ACM	Westley Weimer, Stephanie Forrest, Claire Le Goues, and ThanhVu Nguyen	Automatic Program Repair with Evolutionary Computation	2010	10.1145/1735223.1735249
Proceedings of the 13th Annual Conference on Genetic and Evolutionary Computation	T. Ackling, B. Alexander, and I. Grunert	Evolving Patches for Software Repair	2011	10.1145/2001576.2001768
Applied Soft Computing	Andrea Arcuri	Evolutionary Repair of Faulty Software	2011	10.1016/j.asoc.2011.01.023
Proceedings of the International Conference on Tools and Algorithms for the Construction and Analysis of Systems	Divya Gopinath, Muhammad Zubair Malik, and Sarfraz Khurshid	Specification-based Program Repair Using SAT	2011	10.1007/978-3-642-19835-9_15
Proceedings of the 32nd ACM SIGPLAN Conference on Programming Language Design and Implementation	G. Jin, L. Song, W. Zhang, S. Lu, and B. Liblit	Automated Atomicity-violation Fixing	2011	10.1145/1993316.1993544
Formal Methods, Foundations and Applications	Sara Kalvala and Richard Warburton	A Formal Approach to Fixing Bugs	2011	10.1007/978-3-642-25032-3_12
Formal Methods in Computer-Aided Design (FMCAD), 2011	Robert Könighofer and Roderick Bloem	Automated Error Localization and Correction for Imperative Programs	2011	NOT_FOUND
Proceedings of the International Conference on Software Testing, Verification and Validation	N. Lazaar, A. Gotlieb, and Y. Lebbah	A Framework for the Automatic Correction of Constraint Programs	2011	10.1109/icst.2011.41
International Conference on Software Testing, Verification and Validation (ICST)	M.Z. Malik, J.H. Siddiqi, and S. Khurshid	Constraint-Based Program Debugging Using Data Structure Repair	2011	10.1109/icst.2011.65
Tech. rep. arXiv:1102.1059v2	Yu Pei, Yi Wei, Carlo A Furia, Martin Nordio, and Bertrand Meyer	Code-Based Automated Program Fixing	2011	10.1109/ase.2011.6100080
Proceedings of the International Symposium on Software Testing and Analysis	Zachary P. Fry, Bryan Landau, and Westley Weimer	A Human Study of Patch Maintainability	2012	10.1145/2338965.2336775
Proceedings of the International Conference on Software Engineering	C. Le Goues, M. Dewey-Vogt, S. Forrest, and W. Weimer	A Systematic Study of Automated Program Repair: Fixing 55 Out of 105 Bugs for $8 Each	2012	10.1109/icse.2012.6227211
IEEE Transactions on Software Engineering	Claire Le Goues, ThanhVu Nguyen, Stephanie Forrest, and Westley Weimer	Gen-Prog: a Generic Method for Automatic Software Repair	2012	NOT_FOUND
Proceedings of the 2012 International Conference on Software Engineering	Peng Liu and Charles Zhang	Axis: Automatically Fixing Atomicity Violations Through Solving Control Constraints	2012	10.1109/icse.2012.6227184
Proceedings of the 27th ACM International Conference on Object Oriented Programming Systems Languages and Applications	Francesco Logozzo and Tom Ball	Modular and Verified Automatic Program Repair	2012	10.1145/2398857.2384626
Science China Information Sciences	YuHua Qi, XiaoGuang Mao, YanJun Wen, ZiYing Dai, and Bin Gu	More Efficient Automatic Repair of Large-scale Programs Using Weak Recompilation	2012	10.1007/s11432-012-4741-1
