Cited_DOI	Last_Cited_Year
10.1002/(sici)1096-9128(199711)9:11<1017::aid-cpe347>3.0.co;2-0	2002
10.1002/(sici)1097-024x(199608)26:8<929::aid-spe40>3.0.co;2-t	2002
10.1002/(sici)1097-024x(199610)26:10<1161::aid-spe58>3.0.co;2-x	1999
10.1002/(sici)1097-024x(199701)27:1<1::aid-spe66>3.0.co;2-j	1998
10.1002/(sici)1097-024x(199705)27:5<519::aid-spe95>3.0.co;2-o	2002
10.1002/(sici)1097-024x(199706)27:6<701::aid-spe104>3.0.co;2-0	2002
10.1002/(sici)1097-024x(19980410)28:4<425::aid-spe160>3.0.co;2-2	2002
10.1002/(sici)1097-024x(199808)28:10<1045::aid-spe191>3.0.co;2-f	1999
10.1002/(sici)1097-024x(200001)30:1<17::aid-spe290>3.0.co;2-2	2002
10.1002/(sici)1097-4571(199009)41:6<391::aid-asi1>3.0.co;2-9	2001
10.1002/(sici)1097-4571(199012)41:8<581::aid-asi4>3.0.co;2-u	1998
10.1002/(sici)1097-4571(199201)43:1<34::aid-asi4>3.0.co;2-f	1994
10.1002/(sici)1097-4571(199203)43:2<130::aid-asi3>3.0.co;2-s	1997
10.1002/(sici)1097-4571(199206)43:5<340::aid-asi3>3.0.co;2-9	1999
10.1002/(sici)1097-4571(199307)44:6<327::aid-asi3>3.0.co;2-j	1997
10.1002/(sici)1097-4571(199309)44:8<480::aid-asi7>3.0.co;2-b	1997
10.1002/(sici)1097-4571(199310)44:9<508::aid-asi2>3.0.co;2-a	1999
10.1002/(sici)1097-4571(199410)45:9<640::aid-asi1>3.0.co;2-q	1998
10.1002/(sici)1097-4571(199412)45:10<730::aid-asi3>3.0.co;2-w	1997
10.1002/(sici)1097-4571(199501)46:1<52::aid-asi6>3.0.co;2-1	1999
10.1002/(sici)1097-4571(199504)46:3<194::aid-asi4>3.0.co;2-s	1995
10.1002/(sici)1097-4571(199508)46:7<537::aid-asi7>3.0.co;2-p	1998
10.1002/(sici)1097-4571(199607)47:7<493::aid-asi3>3.0.co;2-p	1997
10.1002/(sici)1097-4571(199609)47:9<672::aid-asi4>3.0.co;2-p	1997
10.1002/(sici)1097-4571(199610)47:10<749::aid-asi3>3.0.co;2-2	1998
10.1002/(sici)1097-4571(199702)48:2<122::aid-asi3>3.0.co;2-%23	2001
10.1002/(sici)1097-4571(199709)48:9<810::aid-asi6>3.0.co;2-u	2000
10.1002/(sici)1097-4571(1998)49:11<973::aid-asi3>3.0.co;2-z	1999
10.1002/(sici)1097-4571(1998)49:1<82::aid-asi10>3.0.co;2-n	1997
10.1002/(sici)1097-4571(199803)49:3<206::aid-asi3>3.0.co;2-k	2000
10.1002/(sici)1097-4571(1999)50:6<514::aid-asi6>3.0.co;2-q	2000
10.1002/(sici)1097-4571(1999)50:6<530::aid-asi8>3.0.co;2-u	2000
10.1002/(sici)1099-1689(199606)6:2<83::aid-stvr112>3.0.co;2-9	2002
10.1002/9780470316801	2001
10.1002/cpe.4330020303	2002
10.1002/spe.4380010203	1978
10.1002/spe.4380030204	1975
10.1002/spe.4380030406	1984
10.1002/spe.4380050403	1979
10.1002/spe.4380070102	1996
10.1002/spe.4380080106	1977
10.1002/spe.4380090105	1996
10.1002/spe.4380090402	1991
10.1002/spe.4380091109	1987
10.1002/spe.4380100203	1992
10.1002/spe.4380100608	1983
10.1002/spe.4380110208	1987
10.1002/spe.4380110504	1983
10.1002/spe.4380120104	1983
10.1002/spe.4380120406	1983
10.1002/spe.4380121009	1984
10.1002/spe.4380130306	1988
10.1002/spe.4380130307	1988
10.1002/spe.4380140106	1996
10.1002/spe.4380140205	1998
10.1002/spe.4380140407	1989
10.1002/spe.4380140606	1994
10.1002/spe.4380140904	1998
10.1002/spe.4380141005	1987
10.1002/spe.4380150105	1993
10.1002/spe.4380150703	2001
10.1002/spe.4380150905	1994
10.1002/spe.4380151003	1999
10.1002/spe.4380160405	1987
10.1002/spe.4380160503	1999
10.1002/spe.4380161203	1999
10.1002/spe.4380170302	1990
10.1002/spe.4380170607	2002
10.1002/spe.4380170806	1987
10.1002/spe.4380180203	1990
10.1002/spe.4380180302	1995
10.1002/spe.4380180407	1989
10.1002/spe.4380190205	2002
10.1002/spe.4380190207	1997
10.1002/spe.4380190302	1994
10.1002/spe.4380190305	1997
10.1002/spe.4380190603	1992
10.1002/spe.4380191005	1994
10.1002/spe.4380200302	1998
10.1002/spe.4380200906	1994
10.1002/spe.4380210107	1995
10.1002/spe.4380210807	1992
10.1002/spe.4380211004	1996
10.1002/spe.4380220204	1996
10.1002/spe.4380220402	1997
10.1002/spe.4380220702	1995
10.1002/spe.4380220706	1997
10.1002/spe.4380220902	1996
10.1002/spe.4380221103	1993
10.1002/spe.4380230103	1996
10.1002/spe.4380230307	1994
10.1002/spe.4380231202	1995
10.1002/spe.4380231205	1996
10.1002/spe.4380240305	2002
10.1002/spe.4380250307	1996
10.1002/spe.4380250804	1998
10.1002/stvr.4370030104	2002
10.1006/imms.1993.1031	1997
10.1006/imms.1993.1035	1997
10.1006/imms.1993.1040	1996
10.1006/imms.1993.1057	1994
10.1006/imms.1993.1086	1996
10.1006/inco.1993.1025	1995
10.1006/inco.1994.1023	1998
10.1006/inco.1994.1058	1992
10.1006/inco.1995.1005	1997
10.1006/inco.1995.1007	2001
10.1006/inco.1995.1017	1997
10.1006/inco.1995.1026	1999
10.1006/inco.1995.1036	1995
10.1006/inco.1995.1049	2000
10.1006/inco.1995.1084	1998
10.1006/inco.1995.1100	2001
10.1006/inco.1995.1102	2001
10.1006/inco.1995.1148	1996
10.1006/inco.1996.0070	2001
10.1006/inco.1997.2625	1999
10.1006/inco.1997.2675	2001
10.1006/jagm.1993.1031	1996
10.1006/jagm.1993.1040	1998
10.1006/jagm.1994.1003	1995
10.1006/jagm.1995.1034	2000
10.1006/jagm.1996.0003	1996
10.1006/jagm.1996.0057	1999
10.1006/jagm.1996.0062	1997
10.1006/jagm.1996.0821	1998
10.1006/jagm.1997.0873	2000
10.1006/jcss.1995.1015	2000
10.1006/jcss.1995.1025	1999
10.1006/jcss.1995.1049	2000
10.1006/jcss.1995.1050	2000
10.1006/jcss.1995.1051	2000
10.1006/jcss.1995.1052	1994
10.1006/jcss.1995.1053	1997
10.1006/jcss.1995.1055	2000
10.1006/jcss.1995.1058	1999
10.1006/jcss.1995.1060	1999
10.1006/jcss.1995.1079	1999
10.1006/jcss.1995.1080	1997
10.1006/jcss.1995.1088	1999
10.1006/jcss.1996.0009	1988
10.1006/jcss.1996.0027	1996
10.1006/jcss.1996.0032	1997
10.1006/jcss.1996.0037	1998
10.1006/jcss.1996.0040	1998
10.1006/jcss.1996.0041	1999
10.1006/jcss.1996.0042	1997
10.1006/jcss.1996.0043	2000
10.1006/jcss.1996.0058	1999
10.1006/jcss.1997.1446	1997
10.1006/jcss.1997.1454	1997
10.1006/jcss.1997.1455	1998
10.1006/jcss.1997.1485	2001
10.1006/jcss.1997.1494	2001
10.1006/jcss.1997.1520	2001
10.1006/jcss.1997.1521	1999
10.1006/jcss.1997.1523	2001
10.1006/jcss.1997.1524	2001
10.1006/jcss.1997.1534	2000
10.1006/jcss.1998.1562	1997
10.1006/jcss.1998.1567	2000
10.1006/jcss.1998.1598	1998
10.1006/jcss.1999.1630	2000
10.1006/jcss.1999.1632	2000
10.1006/jpdc.1993.1005	1995
10.1006/jpdc.1993.1011	1994
10.1006/jpdc.1993.1013	1994
10.1006/jpdc.1993.1029	1995
10.1006/jpdc.1994.1104	2002
10.1006/jpdc.1996.0092	1999
10.1006/jpdc.1997.1305	2001
10.1006/jpdc.1998.1428	1999
10.1006/jpdc.1998.1431	1999
10.1006/jsco.1996.0035	1997
10.1006/jvlc.1995.1004	1995
10.1006/jvlc.1996.0020	1998
10.1006/jvlc.1996.0022	1999
10.1006/jvlc.1996.0023	2000
10.1006/jvlc.1998.0091	1998
10.1007/10704656_10	2000
10.1007/10704656_11	2000
10.1007/10704656_2	1998
10.1007/10704656_4	2001
10.1007/10704656_5	1998
10.1007/10704656_7	2000
10.1007/10704656_8	2001
10.1007/11693383_1	2011
10.1007/3-540-07410-4_632	1990
10.1007/3-540-07612-3_15	1978
10.1007/3-540-07612-3_5	1988
10.1007/3-540-07804-5_24	1984
10.1007/3-540-07854-1_159	1990
10.1007/3-540-07854-1_183	1990
10.1007/3-540-07854-1_232	1991
10.1007/3-540-08240-9	1984
10.1007/3-540-08353-7_158	1992
10.1007/3-540-08353-7_172	1999
10.1007/3-540-08755-9_2	1981
10.1007/3-540-08755-9_7	1981
10.1007/3-540-08755-9_8	1981
10.1007/3-540-08755-9_9	2000
10.1007/3-540-08860-1_20	1979
10.1007/3-540-08921-7_102	1992
10.1007/3-540-08921-7_60	1997
10.1007/3-540-08921-7_69	1993
10.1007/3-540-08921-7_82	1979
10.1007/3-540-08921-7_97	1999
10.1007/3-540-08921-7_98	1982
10.1007/3-540-09237-4	1999
10.1007/3-540-09510-1_10	1997
10.1007/3-540-09510-1_31	1986
10.1007/3-540-09526-8_27	1994
10.1007/3-540-09526-8_39	1981
10.1007/3-540-09757-0_1	1984
10.1007/3-540-09757-0_11	1988
10.1007/3-540-09763-5_12	1984
10.1007/3-540-09763-5_24	1984
10.1007/3-540-09763-5_9	1994
10.1007/3-540-09981-6_22	1987
10.1007/3-540-10001-6_22	1993
10.1007/3-540-10003-2_78	1994
10.1007/3-540-10003-2_84	2012
10.1007/3-540-10235-3	1988
10.1007/3-540-10571-9_11	1997
10.1007/3-540-10571-9_12	1987
10.1007/3-540-10571-9_13	1997
10.1007/3-540-10571-9_14	1989
10.1007/3-540-10571-9_15	1987
10.1007/3-540-10571-9_7	1987
10.1007/3-540-10828-9_53	1984
10.1007/3-540-10843-2_34	1986
10.1007/3-540-10843-2_7	1999
10.1007/3-540-10843-2_8	1991
10.1007/3-540-10845-9	1989
10.1007/3-540-10856-4_116	1995
10.1007/3-540-10885-8_32	1985
10.1007/3-540-10885-8_45	1998
10.1007/3-540-10885-8_46	1984
10.1007/3-540-11205-7	1987
10.1007/3-540-11214-6_6	1981
10.1007/3-540-11215-4_1	1984
10.1007/3-540-11215-4_3	1984
10.1007/3-540-11215-4_7	1984
10.1007/3-540-12689-9_105	1997
10.1007/3-540-12689-9_99	1992
10.1007/3-540-12727-5_22	1986
10.1007/3-540-12727-5_3	1987
10.1007/3-540-13345-3_1	1992
10.1007/3-540-13345-3_13	1994
10.1007/3-540-13345-3_16	1989
10.1007/3-540-13345-3_46	1985
10.1007/3-540-13345-3_48	1992
10.1007/3-540-13883-8_75	1988
10.1007/3-540-13883-8_83	1988
10.1007/3-540-15198-2_24	1993
10.1007/3-540-15198-2_7	1988
10.1007/3-540-15216-4_17	1997
10.1007/3-540-15975-4_26	1995
10.1007/3-540-15975-4_28	1996
10.1007/3-540-15975-4_34	1987
10.1007/3-540-15975-4_38	1989
10.1007/3-540-15975-4_41	1994
10.1007/3-540-15975-4_42	1998
10.1007/3-540-15975-4_43	1991
10.1007/3-540-15976-2_13	1987
10.1007/3-540-15976-2_8	1990
10.1007/3-540-15976-2_9	1997
10.1007/3-540-16042-6_4	1992
10.1007/3-540-16078-7_81	1988
10.1007/3-540-16442-1_12	1995
10.1007/3-540-16492-8_101	1988
10.1007/3-540-16492-8_104	1996
10.1007/3-540-16492-8_105	1991
10.1007/3-540-16492-8_106	1988
10.1007/3-540-16492-8_112	1991
10.1007/3-540-16492-8_66	1997
10.1007/3-540-16492-8_68	1988
10.1007/3-540-16492-8_70	1992
10.1007/3-540-16492-8_76	1990
10.1007/3-540-16492-8_91	1991
10.1007/3-540-16492-8_95	1989
10.1007/3-540-16492-8_97	1991
10.1007/3-540-16761-7_87	1990
10.1007/3-540-16766-8_28	1992
10.1007/3-540-16780-3_109	1992
10.1007/3-540-16780-3_112	1992
10.1007/3-540-16780-3_113	1992
10.1007/3-540-16811-7_185	1988
10.1007/3-540-16811-7_193	1991
10.1007/3-540-17179-7_30	2002
10.1007/3-540-17187-8_27	1991
10.1007/3-540-17187-8_28	1997
10.1007/3-540-17187-8_29	1991
10.1007/3-540-17187-8_30	1991
10.1007/3-540-17187-8_31	1987
10.1007/3-540-17187-8_32	1987
10.1007/3-540-17187-8_33	1995
10.1007/3-540-17187-8_34	1996
10.1007/3-540-17187-8_36	1987
10.1007/3-540-17187-8_37	1996
10.1007/3-540-17187-8_38	1998
10.1007/3-540-17187-8_40	1991
10.1007/3-540-17187-8_42	1991
10.1007/3-540-17187-8_43	1993
10.1007/3-540-17187-8_44	1993
10.1007/3-540-17187-8_48	1998
10.1007/3-540-17187-8_51	1991
10.1007/3-540-17189-4_107	1992
10.1007/3-540-17189-4_108	1991
10.1007/3-540-17189-4_110	1998
10.1007/3-540-17189-4_121	1987
10.1007/3-540-17189-4_99	1987
10.1007/3-540-17218-1_65	1988
10.1007/3-540-17220-3	1990
10.1007/3-540-17943-7_117	1992
10.1007/3-540-17943-7_142	1994
10.1007/3-540-17945-3_1	1988
10.1007/3-540-17945-3_10	1993
10.1007/3-540-18024-9_19	1994
10.1007/3-540-18088-5_28	1987
10.1007/3-540-18625-5_54	1990
10.1007/3-540-18625-5_59	1991
10.1007/3-540-18740-5_99	1995
10.1007/3-540-19027-9_7	1992
10.1007/3-540-19074-0_44	1999
10.1007/3-540-19074-0_45	1998
10.1007/3-540-19074-0_46	1994
10.1007/3-540-19074-0_47	1996
10.1007/3-540-19074-0_48	1996
10.1007/3-540-19074-0_50	1994
10.1007/3-540-19074-0_51	2000
10.1007/3-540-19074-0_52	1997
10.1007/3-540-19074-0_53	1994
10.1007/3-540-19074-0_54	1995
10.1007/3-540-19074-0_55	1989
10.1007/3-540-19074-0_56	1994
10.1007/3-540-19074-0_57	1995
10.1007/3-540-19074-0_58	1996
10.1007/3-540-19074-0_61	1993
10.1007/3-540-19074-0_62	1993
10.1007/3-540-19074-0_63	1993
10.1007/3-540-19074-0_64	1993
10.1007/3-540-19074-0_66	1993
10.1007/3-540-19074-0_67	1997
10.1007/3-540-19074-0_68	1994
10.1007/3-540-19074-0_69	1998
10.1007/3-540-19074-0_70	1995
10.1007/3-540-19074-0_71	1994
10.1007/3-540-19074-0_74	1991
10.1007/3-540-19074-0_75	1989
10.1007/3-540-19074-0_77	1992
10.1007/3-540-19074-0_79	1993
10.1007/3-540-19074-0_82	1991
10.1007/3-540-19074-0_84	1990
10.1007/3-540-19074-0_86	1991
10.1007/3-540-19121-6_12	1989
10.1007/3-540-19121-6_15	1989
10.1007/3-540-19121-6_3	1989
10.1007/3-540-19121-6_4	1996
10.1007/3-540-19121-6_5	1992
10.1007/3-540-19121-6_6	1989
10.1007/3-540-19121-6_7	1992
10.1007/3-540-19422-3_7	1999
10.1007/3-540-19422-3_9	2000
10.1007/3-540-19488-6_103	1996
10.1007/3-540-19488-6_123	1993
10.1007/3-540-19488-6_129	1990
10.1007/3-540-39568-7_34	1998
10.1007/3-540-39568-7_5	1994
10.1007/3-540-39757-4_26	1998
10.1007/3-540-44450-5_2	2001
10.1007/3-540-44466-1_3	2001
10.1007/3-540-44467-x_2	2002
10.1007/3-540-44495-5_5	2011
10.1007/3-540-44499-8_24	2011
10.1007/3-540-44706-7_1	2011
10.1007/3-540-44957-4_66	2001
10.1007/3-540-44957-4_68	2001
10.1007/3-540-45140-4_10	2000
10.1007/3-540-45140-4_29	2000
10.1007/3-540-45271-0_12	2001
10.1007/3-540-45306-7_22	2002
10.1007/3-540-45306-7_4	2002
10.1007/3-540-45309-1_11	2002
10.1007/3-540-45403-9_16	2002
10.1007/3-540-45449-7_32	2012
10.1007/3-540-45539-6_30	2011
10.1007/3-540-45910-3_17	1990
10.1007/3-540-45910-3_22	1994
10.1007/3-540-45910-3_4	1998
10.1007/3-540-45910-3_6	1994
10.1007/3-540-45937-5_4	2002
10.1007/3-540-46423-9_1	2002
10.1007/3-540-46428-x_25	2012
10.1007/3-540-46439-5_10	2000
10.1007/3-540-46439-5_12	2000
10.1007/3-540-46439-5_17	2001
10.1007/3-540-46439-5_24	2001
10.1007/3-540-46439-5_34	2000
10.1007/3-540-46439-5_36	2001
10.1007/3-540-46439-5_5	2000
10.1007/3-540-46852-8_38	2000
10.1007/3-540-47866-3_23	2000
10.1007/3-540-47891-4_12	1991
10.1007/3-540-47891-4_13	1992
10.1007/3-540-47891-4_15	1990
10.1007/3-540-47891-4_18	1992
10.1007/3-540-47891-4_21	1991
10.1007/3-540-47910-4_10	1997
10.1007/3-540-47910-4_13	1997
10.1007/3-540-47910-4_15	1993
10.1007/3-540-47910-4_16	1998
10.1007/3-540-47910-4_21	2000
10.1007/3-540-47910-4_23	1995
10.1007/3-540-47910-4_3	1997
10.1007/3-540-48054-4	2000
10.1007/3-540-48054-4_1	2000
10.1007/3-540-48054-4_10	2000
10.1007/3-540-48054-4_11	2000
10.1007/3-540-48054-4_2	2000
10.1007/3-540-48054-4_3	2000
10.1007/3-540-48054-4_4	2000
10.1007/3-540-48054-4_5	2000
10.1007/3-540-48054-4_6	2000
10.1007/3-540-48054-4_7	2000
10.1007/3-540-48054-4_8	2000
10.1007/3-540-48054-4_9	2000
10.1007/3-540-48168-0_6	2001
10.1007/3-540-48184-2_13	1994
10.1007/3-540-48184-2_15	1994
10.1007/3-540-48184-2_17	1994
