conference	authors	title	year	DOI
ICSE	Ren, Zhilei, et al	Automated patching for unreproducible builds.	2022	10.1145/3510003.3510102
ICSE	Meng, Xiangxin, et al	Improving fault localization and program repair with deep semantic features and transferred knowledge.	2022	10.1145/3510003.3510147
ICSE	Ye, He, Matias Martinez, and Martin Monperrus	Neural program repair with execution-based backpropagation.	2022	10.1145/3510003.3510222
ICSE	Gissurarson, Matthías Páll, et al	PropR: property-based automatic program repair.	2022	10.1145/3510003.3510620
ICSE	Zhao, Yanjie, et al	Towards automatically repairing compatibility issues in published android apps.	2022	10.1145/3510003.3510128
ICSE	Noller, Yannic, et al	Trust enhancement issues in program repair.	2022	10.1145/3510003.3510040
ICSE	Jiang, Nan, Thibaud Lutellier, and Lin Tan	Cure: Code-aware neural machine translation for automatic program repair.	2021	10.1109/icse43902.2021.00107
ICSE	Li, Yi, Shaohua Wang, and Tien N	Dlfix: Context-based code transformation learning for automated program repair.	2020	10.1145/3377811.3380345
ICSE	Liu, Kui, et al	On the efficiency of test suite based program repair: A systematic assessment of 16 automated repair systems for java programs.	2020	10.1145/3377811.3380338
ICSE	Hong, Seongjoon, et al	SAVER: scalable, precise, and safe memory-error repair.	2020	10.1145/3377811.3380323
ICSE	Le, Xuan-Bach D	On reliability of patch correctness assessment.	2019	10.1109/icse.2019.00064
ICSE	Maoz, Shahar, Jan Oliver Ringert, and Rafi Shalom	Symbolic repairs for GR (1) specifications.	2019	10.1109/icse.2019.00106 
ICSE	Ghorbani, Negar, Joshua Garcia, and Sam Malek	Detection and repair of architectural inconsistencies in java.	2019	10.1109/icse.2019.00067
ICSE	Saha, Seemanta	Harnessing evolution for multi-hunk program repair.	2019	10.1109/icse.2019.00020
ICSE	Tomassi, David A	Bugswarm: Mining and continuously growing a dataset of reproducible failures and fixes.	2019	10.1109/icse.2019.00048
ICSE	Xu, Xuezheng, et al	VFix: value-flow-guided precise program repair for null pointer dereferences.	2019	10.1109/icse.2019.00063
ICSE	Wen, Ming, et al	Context-aware patch generation for better automated program repair.	2018	10.1145/3180155.3180233
ICSE	Hua, Jinru, et al	Towards practical program repair with on-demand candidate generation.	2018	10.1145/3180155.3180245
ICSE	Yi, Jooyong, et al	A correlation study between automated program repair and test-suite metrics.	2018	10.1145/3180155.3182517
ICSE	Motwani, Manish, et al	Do automated program repair techniques repair hard and important bugs?.	2018	10.1145/3180155.3182533
ICSE	Bhatia, Sahil, Pushmeet Kohli, and Rishabh Singh	Neuro-symbolic program corrector for introductory programming assignments.	2018	10.1145/3180155.3180219
ICSE	Mechtaev, Sergey, et al	Semantic program repair using a reference implementation.	2018	10.1145/3180155.3180247
ICSE	Mahajan, Sonai, et al	Automated repair of mobile friendly problems in web pages.	2018	10.1145/3180155.3180262
ICSE	van Tonder, Rijnard, and Claire Le Goues	Static automated program repair for heap properties.	2018	10.1145/3180155.3180250
ICSE	Le, Xuan-Bach D	Overfitting in semantics-based automated program repair.	2018	10.1145/3180155.3182536
ICSE	Xiong, Yingfei, et al	Identifying patch correctness in test-based program repair.	2018	10.1145/3180155.3180182
ICSE	Hassan, Foyzul, and Xiaoyin Wang	Hirebuild: An automatic approach to history-driven repair of build scripts.	2018	10.1145/3180155.3180181
ICSE	Gazzola, Luca, Daniela Micucci, and Leonardo Mariani	Automatic software repair: A survey.	2018	10.1145/3180155.3182526
TSE	Chen, Zimin, Steve Kommrusch, and Martin Monperrus	Neural transfer learning for repairing security vulnerabilities in c code.	2022	10.1109/tse.2022.3147265 
