Citing_DOI	Citing_Year	Cited_DOI	Cited_Year
10.1007/978-1-4419-5906-5_16	2011	10.1145/62212.62222	1988
10.1007/978-1-4419-5906-5_16	2011	10.1137/0220068	1991
10.1007/978-1-4419-5906-5_16	2011	10.1145/335305.335334	2000
10.1007/978-1-4419-5906-5_16	2011	10.1007/3-540-45539-6_30	2000
10.1007/978-1-4419-5906-5_16	2011	10.1145/276698.276853	1998
10.1007/978-1-4419-5906-5_16	2011	10.1137/0218012	1989
10.1007/978-1-4419-5906-5_16	2011	10.1145/116825.116852	1991
10.1007/978-1-4419-5906-5_16	2011	10.1017/cbo9780511546891	2001
10.1007/978-1-4419-5906-5_332	2011	10.1007/978-3-540-45146-4_35	2003
10.1007/978-1-4419-5906-5_332	2011	10.1007/11693383_1	2005
10.1007/978-1-4419-5906-5_332	2011	10.1007/s00145-007-9001-y	2008
10.1007/978-1-4419-5906-5_332	2011	10.1007/3-540-44495-5_5	2000
10.1007/978-1-4419-5906-5_332	2011	10.1007/3-540-44706-7_1	2000
10.1007/978-1-4419-5906-5_332	2011	10.1109/tit.2002.806129	2003
10.1007/978-1-4419-5906-5_332	2011	10.1007/978-3-540-30564-4_1	2004
10.1007/978-1-4419-5906-5_723	2011	10.1007/3-540-44499-8_24	2000
10.1007/978-1-4419-5906-5_769	2011	10.2200/s00126ed1v01y200808spt001	2008
10.1007/978-1-4419-5906-5_769	2011	10.1109/icsmc.2004.1400987	2004
10.1007/978-1-4419-5906-5_769	2011	10.1109/ipdps.2008.4536104	2008
10.1007/978-1-4419-5906-5_769	2011	10.1109/cis.2009.206	2009
10.1007/978-1-4419-5906-5_179	2011	10.1109/proc.1975.9939	1975
10.1007/978-1-4419-5906-5_179	2011	10.1109/sp.1987.10001	1987
10.1007/978-1-4419-5906-5_179	2011	10.1109/secpri.1989.36295	1989
10.1007/978-1-4419-5906-5_179	2011	10.1145/356850.356852	1981
10.1007/978-1-4419-5906-5_179	2011	10.1145/775265.775268	1974
10.1007/978-1-4419-5906-5_179	2011	10.1145/360303.360333	1976
10.1007/978-1-4419-5906-5_179	2011	10.1145/320473.320482	1976
10.1007/978-1-4419-5906-5_179	2011	10.1145/320263.320288	1978
10.1007/978-1-4419-5906-5_179	2011	10.1145/138873.138874	1992
10.1007/978-1-4419-5906-5_179	2011	10.1145/365230.365252	1966
10.1007/978-1-4419-5906-5_179	2011	10.1145/361011.361070	1974
10.1007/978-1-4419-5906-5_179	2011	10.1145/356678.356682	1976
10.1007/978-1-4419-5906-5_179	2011	10.1109/2.485845	1996
10.1007/978-1-4419-5906-5_179	2011	10.1109/2.241422	1993
10.1007/978-1-4419-5906-5_179	2011	10.1145/360051.360056	1976
10.1007/978-0-387-39940-9_2010	2009	10.1007/978-0-387-39940-9_570	2009
10.1007/978-0-387-39940-9_2002	2009	10.1007/978-0-387-39940-9_866	2009
10.1007/978-0-387-39940-9_2014	2009	10.1007/978-0-387-39940-9_916	2009
10.1007/978-0-387-39940-9_2006	2009	10.1007/978-0-387-39940-9_436	2009
10.1007/978-0-387-39940-9_2339	2009	10.1007/978-0-387-39940-9_92	2009
10.1007/978-0-387-39940-9_2011	2009	10.1007/978-0-387-39940-9_1326	2009
10.1007/978-0-387-39940-9_1407	2009	10.1007/bfb0053711	1997
10.1007/978-0-387-39940-9_1407	2009	10.1007/bfb0053710	1997
10.1007/978-0-387-39940-9_2012	2009	10.1007/978-0-387-39940-9_782	2009
10.1007/978-0-387-39940-9_1559	2009	10.1109/69.683757	1998
10.1007/978-0-387-39940-9_1559	2009	10.1007/bfb0014006	1994
10.1007/978-0-387-39940-9_1559	2009	10.1016/s1574-6526(05)80016-1	2005
10.1007/978-0-387-39940-9_1559	2009	10.1145/383891.383892	2001
10.1007/978-0-387-39940-9_1559	2009	10.1016/b978-012088469-8.50045-0	2004
10.1007/978-0-387-39940-9_1559	2009	10.1145/22952.22956	1987
10.1007/978-0-387-39940-9_1559	2009	10.1145/237661.237676	1996
10.1007/978-0-387-39940-9_1559	2009	10.1007/3-540-63792-3_11	1997
10.1007/978-0-387-39940-9_2337	2009	10.1007/978-0-387-39940-9_1328	2009
10.1007/978-0-387-39940-9_2004	2009	10.1007/978-0-387-39940-9_30	2009
10.1007/978-0-387-39940-9_2342	2009	10.1007/978-0-387-39940-9_684	2009
10.1007/978-0-387-39940-9_148	2009	10.1145/320434.320440	1976
